Audio: 000981_jfk-space-race-speech-59951.mp3
Language: English
Total words: 1697

================================================================================

   0.16s -    3.12s: President
 489.53s -  490.01s: national
 490.09s -  490.09s: conflict
 490.41s -  490.81s: in
 490.89s -  491.05s: outer
 491.37s -  491.45s: space
 491.53s -  491.77s: as
 491.77s -  492.01s: yet
 493.21s -  493.37s: It
 493.45s -  493.69s: has
 493.77s -  493.93s: a
 494.01s -  494.57s: hostile
 494.65s -  494.81s: to
 494.81s -  494.89s: us
 494.89s -  495.29s: all
 496.17s -  496.33s: Its
 496.33s -  497.05s: conquest
 497.05s -  497.61s: deserves
 497.61s -  497.69s: the
 497.69s -  498.01s: best
 498.33s -  498.49s: of
 498.49s -  498.73s: all
 498.73s -  499.45s: mankind
 500.33s -  500.49s: and
 500.49s -  500.65s: its
 500.65s -  501.37s: opportunity
 501.93s -  502.09s: for
 502.09s -  502.57s: peaceful
 502.65s -  503.53s: cooperation
 503.53s -  503.69s: may
 503.69s -  504.01s: never
 504.01s -  504.25s: come
 504.25s -  504.57s: again
 505.85s -  506.01s: But
 506.01s -  506.41s: why
 506.41s -  506.65s: some
 506.65s -  506.97s: say
 506.97s -  507.05s: the
 507.05s -  507.45s: moon
 508.49s -  508.81s: Why
 508.81s -  509.13s: choose
 509.21s -  509.45s: this
 509.61s -  509.77s: as
 509.77s -  509.93s: our
 509.93s -  510.33s: goal
 511.37s -  511.53s: And
 511.53s -  511.69s: they
 511.69s -  511.93s: may
 511.93s -  512.17s: well
 512.17s -  512.41s: ask
 513.37s -  513.61s: Why
 513.61s -  514.09s: climb
 514.09s -  514.17s: the
 514.17s -  514.49s: highest
 514.57s -  514.81s: mountain
 515.85s -  516.17s: Why
 516.33s -  516.97s: thirtyfive
 516.97s -  517.05s: years
 517.05s -  517.45s: ago
 518.17s -  518.41s: fly
 518.41s -  518.57s: the
 518.57s -  518.97s: Atlantic
 519.77s -  520.01s: Why
 520.01s -  520.17s: does
 520.25s -  520.49s: Wright
 520.57s -  520.89s: say
 520.89s -  521.29s: Texas
 521.93s -  522.17s: We
 522.17s -  522.57s: choose
 522.65s -  522.73s: to
 522.73s -  522.89s: go
 522.89s -  522.97s: to
 522.97s -  523.13s: the
 523.13s -  523.53s: moon
 524.65s -  524.89s: We
 524.89s -  525.21s: choose
 525.29s -  525.29s: to
 525.37s -  525.61s: go
 525.61s -  525.61s: to
 525.61s -  525.69s: the
 525.69s -  525.85s: moon
 532.65s -  532.89s: We
 532.97s -  533.37s: choose
 533.45s -  533.53s: to
 533.53s -  533.61s: go
 533.69s -  533.77s: to
 533.85s -  533.93s: the
 534.09s -  534.25s: moon
 534.41s -  534.57s: and
 534.65s -  534.81s: this
 534.93s -  535.05s: to
 535.17s -  535.29s: gain
 535.29s -  535.53s: and
 535.53s -  535.77s: do
 535.77s -  536.09s: the
 536.09s -  536.17s: other
 536.17s -  536.57s: things
 537.05s -  537.37s: not
 537.37s -  537.45s: because
 537.85s -  538.09s: they
 538.09s -  538.17s: are
 538.25s -  538.73s: easy
 538.89s -  539.05s: but
 539.05s -  539.61s: because
 539.61s -  539.77s: they
 539.77s -  539.85s: are
 539.85s -  539.85s: hard
 541.01s -  541.49s: Because
 541.57s -  541.89s: that
 541.89s -  542.21s: goal
 543.01s -  543.25s: will
 543.25s -  543.65s: serve
 543.73s -  543.73s: to
 543.73s -  544.61s: organize
 544.61s -  544.77s: and
 544.77s -  545.17s: measure
 545.17s -  545.25s: the
 545.25s -  545.65s: best
 546.29s -  546.29s: of
 546.29s -  546.69s: our
 546.69s -  547.09s: energies
 547.09s -  547.25s: and
 547.25s -  547.73s: skills
 548.45s -  548.85s: because
 548.93s -  549.17s: that
 549.17s -  549.73s: challenge
 549.73s -  549.89s: is
 549.89s -  550.29s: one
 550.29s -  550.45s: that
 550.53s -  550.61s: we
 550.61s -  550.61s: are
 550.61s -  551.01s: willing
 551.01s -  551.09s: to
 551.17s -  551.73s: accept
 552.37s -  552.69s: one
 552.69s -  552.85s: we
 552.85s -  553.17s: are
 553.25s -  553.57s: willing
 553.65s -  553.73s: to
 553.73s -  554.45s: postpone
 555.09s -  555.33s: and
 555.33s -  555.57s: one
 555.57s -  555.73s: we
 555.73s -  556.21s: intend
 556.21s -  556.21s: to
 556.21s -  556.53s: win
 556.53s -  556.61s: and
 557.25s -  557.41s: the
 557.41s -  557.57s: others
 557.57s -  557.89s: too
 563.41s -  563.49s: It
 563.49s -  563.73s: is
 563.73s -  563.89s: for
 563.89s -  564.13s: these
 564.13s -  564.61s: reasons
 565.41s -  565.57s: that
 565.57s -  565.73s: I
 565.73s -  566.21s: regard
 566.21s -  566.21s: the
 566.21s -  566.77s: decision
 566.77s -  567.09s: last
 567.09s -  567.33s: year
 567.33s -  567.33s: to
 568.37s -  568.77s: shift
 568.77s -  569.09s: our
 569.09s -  569.33s: efforts
 569.33s -  569.49s: in
 569.57s -  569.89s: space
 570.77s -  570.93s: from
 570.93s -  571.25s: low
 571.25s -  571.33s: to
 571.33s -  571.65s: high
 571.65s -  571.97s: gear
 572.61s -  572.77s: as
 572.77s -  573.09s: among
 573.09s -  573.17s: the
 573.17s -  573.49s: most
 573.49s -  573.97s: important
 573.97s -  574.53s: decisions
 574.53s -  574.69s: that
 574.69s -  574.85s: will
 574.85s -  574.93s: be
 574.93s -  575.33s: made
 576.05s -  576.29s: during
 576.29s -  576.53s: my
 576.53s -  577.09s: incumbency
 577.09s -  577.17s: in
 577.17s -  577.33s: the
 577.33s -  577.57s: office
 577.65s -  577.73s: of
 577.73s -  577.73s: the
 577.73s -  578.29s: presidency
 579.25s -  579.41s: In
 579.41s -  579.49s: the
 579.49s -  579.81s: last
 579.89s -  580.29s: twentyfour
 580.37s -  580.69s: hours
 581.57s -  581.73s: we
 581.73s -  581.89s: have
 581.89s -  582.21s: seen
 582.21s -  582.85s: facilities
 583.01s -  583.25s: now
 583.25s -  583.57s: being
 583.57s -  583.97s: created
 584.77s -  584.85s: for
 584.85s -  584.93s: the
 584.93s -  585.41s: greatest
 585.65s -  585.89s: and
 585.89s -  586.13s: most
 586.21s -  586.69s: complex
 586.85s -  587.57s: exploration
 587.81s -  588.05s: in
 588.05s -  588.29s: man's
 588.29s -  588.61s: history
 589.73s -  589.89s: We
 589.89s -  590.05s: have
 590.05s -  590.29s: felt
 590.29s -  590.37s: the
 590.37s -  590.85s: ground
 591.09s -  591.41s: shake
 592.29s -  592.45s: and
 592.45s -  592.53s: the
 592.53s -  592.77s: air
 592.77s -  593.25s: shatter
 593.25s -  593.41s: by
 593.41s -  593.49s: the
 593.49s -  594.05s: testing
 594.05s -  594.13s: of
 594.13s -  594.21s: a
 594.29s -  594.61s: Saturn
 595.33s -  595.97s: C1
 595.97s -  596.37s: booster
 596.37s -  596.69s: rocket
 597.65s -  597.97s: Many
 597.97s -  598.37s: times
 598.37s -  598.45s: as
 598.53s -  599.09s: powerful
 599.81s -  599.97s: as
 599.97s -  600.13s: the
 600.13s -  600.45s: Atlas
 600.45s -  600.69s: which
 600.77s -  601.17s: launched
 601.49s -  601.81s: John
 601.81s -  602.13s: Glenn
 603.09s -  603.65s: generating
 603.65s -  604.13s: power
 604.13s -  604.61s: equivalent
 604.69s -  604.85s: to
 604.93s -  605.17s: ten
 605.17s -  605.65s: thousand
 605.65s -  606.45s: automobiles
 606.45s -  606.69s: with
 606.69s -  606.93s: their
 607.25s -  607.97s: accelerator
 607.97s -  608.13s: on
 608.13s -  608.13s: the
 608.13s -  608.61s: floor
 609.57s -  609.73s: We
 609.73s -  609.89s: have
 609.89s -  610.21s: seen
 610.21s -  610.29s: the
 610.29s -  610.69s: site
 611.49s -  611.65s: where
 611.81s -  612.21s: five
 612.37s -  613.01s: F1
 613.01s -  613.33s: rocket
 613.33s -  613.73s: engines
 614.61s -  614.93s: each
 614.93s -  615.33s: one
 615.33s -  615.49s: as
 615.49s -  615.97s: powerful
 616.85s -  617.01s: as
 617.01s -  617.41s: all
 617.57s -  617.73s: eight
 617.73s -  618.21s: engines
 618.21s -  618.37s: of
 618.37s -  618.45s: the
 618.53s -  618.93s: Saturn
 618.93s -  619.49s: combine
 620.37s -  620.53s: will
 620.53s -  620.69s: be
 620.69s -  621.25s: clustered
 621.25s -  621.25s: together
 621.65s -  621.65s: to
 622.61s -  622.85s: make
 622.85s -  623.09s: the
 623.09s -  623.57s: advanced
 624.05s -  624.45s: Saturn
 624.45s -  624.69s: missile
 625.57s -  626.13s: assembled
 626.13s -  626.21s: in
 626.21s -  626.29s: a
 626.29s -  626.45s: new
 626.45s -  626.85s: building
 627.65s -  627.81s: to
 627.81s -  627.89s: be
 627.89s -  628.29s: built
 628.29s -  628.37s: at
 628.37s -  628.69s: Cape
 628.69s -  629.17s: Canaveral
 629.81s -  630.05s: as
 630.13s -  630.53s: tall
 630.53s -  630.61s: as
 630.61s -  630.69s: a
 630.85s -  631.25s: fortyeight
 631.81s -  632.21s: story
 632.21s -  632.69s: structure
 633.41s -  633.57s: as
 633.65s -  634.13s: wide
 634.21s -  634.37s: as
 634.37s -  634.45s: a
 634.53s -  634.77s: city
 634.77s -  635.09s: block
 635.81s -  635.97s: and
 635.97s -  636.13s: as
 636.21s -  636.69s: long
 636.69s -  636.85s: as
 636.93s -  637.17s: two
 637.17s -  637.41s: lanes
 638.05s -  638.21s: of
 638.21s -  638.37s: this
 638.45s -  638.77s: field
 639.81s -  640.13s: Within
 640.13s -  640.45s: these
 640.45s -  640.77s: last
 640.77s -  641.25s: nineteen
 641.25s -  641.57s: months
 642.29s -  642.37s: and
 642.45s -  642.53s: these
 642.69s -  643.25s: fortyfive
 643.25s -  643.89s: satellites
 644.45s -  644.61s: have
 644.61s -  644.93s: circled
 644.93s -  645.09s: the
 645.09s -  645.33s: Earth
 646.21s -  646.45s: Some
 646.53s -  646.85s: forty
 646.85s -  646.93s: of
 646.93s -  647.17s: them
 647.17s -  647.25s: were
 647.25s -  647.65s: made
 647.65s -  647.81s: in
 647.81s -  647.89s: the
 647.89s -  648.21s: United
 648.21s -  648.61s: States
 648.77s -  648.85s: of
 648.85s -  649.25s: America
 650.13s -  650.29s: and
 650.29s -  650.45s: they
 650.45s -  650.53s: were
 650.53s -  650.93s: far
 650.93s -  651.09s: more
 651.17s -  651.89s: sophisticated
 652.69s -  652.85s: and
 652.85s -  653.33s: supplied
 653.41s -  653.73s: far
 653.73s -  653.89s: more
 653.89s -  654.29s: knowledge
 654.53s -  654.61s: to
 654.61s -  654.69s: the
 654.69s -  655.01s: people
 655.01s -  655.09s: of
 655.09s -  655.17s: the
 655.17s -  655.57s: world
 656.13s -  656.29s: than
 656.29s -  656.61s: those
 656.61s -  656.69s: of
 656.69s -  656.85s: the
 656.85s -  657.25s: Soviet
 657.25s -  657.57s: Union
 658.53s -  658.61s: The
 658.61s -  659.17s: Mariner
 659.17s -  659.49s: space
 659.57s -  659.81s: craft
 659.81s -  659.81s: The
 661.73s -  662.53s: Mariner
 666.37s -  666.77s: space
 666.77s -  667.33s: craft
 667.33s -  667.73s: now
 667.73s -  667.81s: in
 667.81s -  667.97s: its
 667.97s -  668.21s: great
 668.21s -  668.46s: Venus
 668.71s -  668.97s: is
 669.22s -  669.47s: the
 669.73s -  670.05s: most
 670.21s -  670.69s: intricate
 670.85s -  671.33s: instrument
 671.65s -  671.81s: in
 671.81s -  671.97s: the
 671.97s -  672.37s: history
 672.37s -  672.53s: of
 672.53s -  672.85s: space
 672.85s -  673.25s: science
 674.13s -  674.21s: The
 674.21s -  674.85s: accuracy
 674.85s -  675.01s: of
 675.01s -  675.25s: that
 675.25s -  675.57s: shot
 676.29s -  676.45s: is
 676.53s -  677.01s: comparable
 677.09s -  677.17s: to
 677.17s -  677.73s: firing
 677.73s -  677.89s: a
 677.89s -  678.29s: missile
 678.29s -  678.53s: from
 678.53s -  678.77s: Cape
 678.77s -  679.33s: Canaveral
 679.89s -  680.05s: and
 680.05s -  680.45s: dropping
 680.45s -  680.61s: it
 680.69s -  680.85s: in
 680.85s -  681.01s: this
 681.01s -  681.57s: stadium
 681.57s -  681.89s: between
 681.89s -  681.97s: the
 681.97s -  682.37s: forty
 682.37s -  682.53s: odd
 682.53s -  682.93s: lines
 684.21s -  684.69s: Transits
 684.69s -  685.25s: satellites
 685.25s -  685.33s: are
 685.33s -  685.73s: helping
 685.73s -  685.89s: our
 685.89s -  686.21s: ships
 686.21s -  686.37s: at
 686.37s -  686.69s: sea
 687.33s -  687.49s: to
 687.49s -  687.89s: steer
 687.89s -  687.89s: a
 687.89s -  688.21s: safer
 688.21s -  688.61s: course
 689.65s -  689.97s: Tires
 690.13s -  690.69s: satellites
 690.69s -  690.85s: have
 690.85s -  691.01s: given
 691.01s -  691.25s: us
 691.25s -  691.97s: unprecedented
 691.97s -  692.45s: warnings
 692.69s -  692.77s: of
 692.85s -  693.25s: hurricanes
 693.81s -  693.89s: and
 693.89s -  694.53s: storms
 695.09s -  695.25s: and
 695.25s -  695.33s: will
 695.33s -  695.49s: do
 695.49s -  695.57s: the
 695.57s -  695.89s: same
 695.89s -  696.13s: for
 696.13s -  696.53s: forest
 696.53s -  696.77s: fires
 697.25s -  697.33s: and
 697.33s -  697.89s: icebergs
 698.69s -  699.01s: We
 699.01s -  699.09s: have
 699.09s -  699.33s: had
 699.57s -  699.97s: failures
 700.53s -  700.77s: but
 700.77s -  701.01s: so
 701.01s -  701.01s: have
 701.01s -  701.41s: others
 701.73s -  702.05s: even
 702.05s -  702.21s: if
 702.21s -  702.37s: they
 702.37s -  702.53s: do
 702.53s -  702.77s: not
 702.77s -  703.09s: admit
 703.09s -  703.09s: it
 703.89s -  704.05s: and
 704.05s -  704.13s: they
 704.13s -  704.37s: may
 704.37s -  704.45s: be
 704.45s -  704.69s: less
 704.69s -  705.01s: public
 705.89s -  706.05s: To
 706.05s -  706.21s: be
 706.21s -  706.61s: sure
 706.61s -  707.97s: To
 707.97s -  708.61s: be
 708.61s -  709.09s: sure
 712.13s -  712.29s: we
 712.29s -  712.29s: are
 712.53s -  712.53s: behind
 713.89s -  714.05s: and
 714.05s -  714.21s: will
 714.21s -  714.37s: be
 714.37s -  714.93s: behind
 714.93s -  715.09s: for
 715.09s -  715.33s: some
 715.33s -  715.73s: time
 716.37s -  716.61s: in
 716.61s -  716.93s: manned
 716.93s -  717.25s: flight
 717.94s -  718.26s: But
 718.26s -  718.50s: we
 718.50s -  718.66s: do
 718.66s -  718.98s: not
 718.98s -  719.46s: intend
 719.46s -  719.54s: to
 719.54s -  719.86s: stay
 719.86s -  720.42s: behind
 720.42s -  720.58s: and
 720.58s -  720.74s: in
 720.74s -  720.90s: this
 720.90s -  721.54s: decade
 721.70s -  721.86s: we
 721.86s -  722.18s: shall
 722.18s -  722.42s: make
 722.42s -  722.58s: up
 723.06s -  723.22s: and
 723.22s -  723.46s: move
 723.46s -  723.78s: ahead
 732.10s -  732.18s: The
 732.18s -  732.66s: growth
 732.66s -  732.74s: of
 732.74s -  732.90s: our
 732.90s -  733.54s: science
 733.54s -  733.62s: and
 733.62s -  734.26s: education
 735.14s -  735.30s: will
 735.30s -  735.46s: be
 735.46s -  735.94s: enriched
 735.94s -  736.10s: by
 736.10s -  736.26s: new
 736.26s -  736.66s: knowledge
 736.66s -  736.82s: of
 736.82s -  736.90s: our
 736.90s -  737.46s: universe
 737.62s -  737.70s: and
 737.70s -  738.18s: environment
 739.14s -  739.30s: by
 739.30s -  739.46s: new
 739.46s -  740.10s: techniques
 740.10s -  740.26s: of
 740.26s -  740.66s: learning
 741.06s -  741.22s: and
 741.22s -  741.62s: mapping
 741.70s -  741.78s: and
 741.78s -  742.34s: observation
 743.30s -  743.46s: by
 743.46s -  743.62s: new
 743.62s -  744.18s: tools
 744.18s -  744.34s: and
 744.34s -  744.90s: computers
 745.22s -  745.38s: for
 745.38s -  746.02s: industry
 746.18s -  746.50s: medicine
 746.90s -  746.98s: and
 746.98s -  747.06s: the
 747.06s -  747.46s: home
 747.62s -  747.70s: as
 747.78s -  747.94s: well
 747.94s -  748.02s: as
 748.10s -  748.10s: the
 748.18s -  748.58s: school
 749.54s -  749.94s: Technical
 749.94s -  750.66s: institutions
 750.66s -  750.90s: such
 750.90s -  750.98s: as
 750.98s -  751.38s: Rice
 752.18s -  752.34s: will
 752.34s -  752.66s: reap
 752.66s -  752.74s: the
 752.74s -  753.22s: harvest
 753.62s -  753.78s: of
 753.78s -  753.94s: these
 754.02s -  754.42s: gains
 755.46s -  755.62s: And
 755.62s -  756.10s: finally
 756.10s -  756.18s: the
 756.18s -  756.58s: space
 756.58s -  756.82s: effort
 756.82s -  757.30s: itself
 758.18s -  758.34s: while
 758.34s -  758.58s: still
 758.66s -  758.74s: in
 758.74s -  758.82s: its
 758.82s -  759.30s: infancy
 760.18s -  760.34s: has
 760.34s -  760.90s: already
 760.90s -  761.38s: created
 761.38s -  761.46s: a
 761.46s -  761.70s: great
 761.70s -  762.02s: number
 762.02s -  762.10s: of
 762.10s -  762.26s: new
 762.26s -  762.66s: companies
 763.46s -  763.62s: and
 763.62s -  764.10s: tens
 764.10s -  764.18s: of
 764.18s -  764.74s: thousands
 765.14s -  765.22s: of
 765.22s -  765.38s: new
 765.38s -  765.86s: jobs
 766.90s -  767.30s: Space
 767.30s -  767.46s: and
 767.46s -  767.78s: related
 767.78s -  768.18s: industries
 769.06s -  769.22s: are
 769.22s -  769.86s: generating
 769.86s -  770.02s: new
 770.02s -  770.50s: demands
 770.90s -  770.98s: in
 770.98s -  771.54s: investment
 772.10s -  772.18s: and
 772.18s -  772.66s: skilled
 772.66s -  773.22s: personnel
 773.86s -  774.10s: and
 774.10s -  774.26s: this
 774.34s -  774.66s: city
 775.22s -  775.38s: and
 775.38s -  775.54s: this
 775.54s -  775.94s: state
 776.42s -  776.66s: and
 776.66s -  776.82s: this
 776.82s -  777.14s: region
 777.94s -  778.10s: will
 778.18s -  778.50s: share
 778.50s -  778.98s: greatly
 778.98s -  779.06s: in
 779.06s -  779.22s: this
 779.22s -  779.62s: growth
 780.50s -  780.74s: What
 780.74s -  780.90s: was
 780.90s -  781.30s: once
 781.38s -  781.46s: the
 781.54s -  782.02s: furthest
 782.10s -  782.82s: outpost
 782.82s -  782.90s: on
 782.90s -  783.06s: the
 783.06s -  783.30s: old
 783.46s -  783.94s: frontier
 783.94s -  784.02s: of
 784.02s -  784.10s: the
 784.10s -  784.42s: West
 785.14s -  785.46s: will
 785.46s -  785.70s: be
 785.70s -  785.86s: the
 785.86s -  786.34s: furthest
 786.50s -  787.14s: outpost
 787.62s -  787.78s: on
 787.78s -  787.86s: the
 787.86s -  788.02s: new
 788.02s -  788.66s: frontier
 788.66s -  788.82s: of
 788.82s -  789.30s: science
 789.30s -  789.38s: and
 789.38s -  789.78s: space
 790.66s -  791.06s: Houston
 796.26s -  796.58s: Your
 796.58s -  796.98s: city
 796.98s -  797.06s: of
 797.06s -  797.54s: Houston
 798.18s -  798.34s: with
 798.34s -  798.50s: its
 798.50s -  799.06s: manned
 799.14s -  799.94s: spacecraft
 799.94s -  800.18s: center
 800.98s -  801.22s: will
 801.22s -  801.70s: become
 801.70s -  801.78s: the
 801.78s -  802.18s: heart
 802.98s -  803.06s: of
 803.06s -  803.22s: a
 803.22s -  803.78s: large
 803.78s -  804.58s: scientific
 804.58s -  804.66s: and
 804.66s -  805.22s: engineering
 805.22s -  805.70s: community
 806.74s -  806.98s: During
 807.06s -  807.14s: the
 807.14s -  807.38s: next
 807.38s -  807.78s: five
 807.78s -  808.10s: years
 808.90s -  808.98s: the
 808.98s -  809.54s: National
 809.54s -  810.18s: Aeronautic
 810.18s -  810.26s: and
 810.26s -  810.66s: Space
 810.66s -  811.46s: Administration
 811.46s -  811.86s: expects
 811.94s -  812.02s: to
 812.02s -  812.34s: double
 813.14s -  813.22s: the
 813.22s -  813.54s: number
 813.54s -  813.62s: of
 813.70s -  814.26s: scientists
 814.26s -  814.42s: and
 814.42s -  814.98s: engineers
 815.14s -  815.22s: in
 815.22s -  815.38s: this
 815.38s -  815.78s: area
 816.74s -  816.90s: To
 816.90s -  817.30s: increase
 817.30s -  817.46s: its
 817.46s -  818.10s: outlays
 818.10s -  818.26s: for
 818.26s -  818.82s: salaries
 818.82s -  818.90s: and
 818.90s -  819.46s: expenses
 820.02s -  820.10s: to
 820.10s -  820.42s: sixty
 820.42s -  820.74s: million
 820.74s -  821.06s: dollars
 821.06s -  821.06s: a
 821.22s -  821.54s: year
 822.50s -  822.58s: to
 822.58s -  822.98s: invest
 822.98s -  823.14s: some
 823.14s -  823.30s: two
 823.30s -  823.54s: hundred
 823.54s -  823.86s: million
 823.86s -  824.26s: dollars
 824.26s -  824.34s: in
 824.34s -  824.74s: plant
 825.14s -  825.30s: and
 825.30s -  825.86s: laboratory
 825.86s -  826.42s: facilities
 827.30s -  827.46s: and
 827.46s -  827.54s: to
 827.54s -  828.10s: direct
 828.10s -  828.18s: a
 828.18s -  828.82s: contract
 829.54s -  829.62s: for
 829.62s -  829.78s: new
 829.78s -  830.18s: space
 830.18s -  830.50s: efforts
 831.06s -  831.30s: over
 831.30s -  831.78s: one
 831.78s -  832.10s: billion
 832.10s -  832.50s: dollars
 832.98s -  833.14s: from
 833.14s -  833.22s: this
 833.38s -  833.70s: center
 833.94s -  834.10s: in
 834.10s -  834.18s: this
 834.26s -  834.50s: city
 835.54s -  835.62s: To
 835.62s -  835.78s: be
 835.78s -  836.02s: sure
 836.02s -  836.42s: all
